epoch,lr,seconds,train_threshold,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_kappa,train_tp,train_tn,train_fp,train_fn,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_kappa,val_tp,val_tn,val_fp,val_fn,val_auc,val_ap,val_best_threshold
1,9.939057285945933e-05,1.519,0.5,0.465,0.46875,0.44554455445544555,0.48484848484848486,0.45685279187817257,-0.06957217113154739,45,48,51,56,0.9029919219017029,0.6990909090909091,0.62,0.575,0.92,0.32,0.7076923076923077,0.24,23,8,17,2,0.6416,0.6415682023529067,0.6990909090909091
2,9.757729755661012e-05,1.246,0.5,0.5,0.5277777777777778,0.7037037037037037,0.2608695652173913,0.6031746031746033,-0.03648424543946921,76,24,68,32,0.7169644117355347,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.6288,0.6464080273581331,0.05
3,9.460482294732422e-05,1.24,0.5,0.495,0.4852941176470588,0.3333333333333333,0.6534653465346535,0.3952095808383233,-0.013242375601926266,33,66,35,66,0.7680531549453735,0.4413636363636363,0.58,0.5476190476190477,0.92,0.24,0.6865671641791046,0.15999999999999992,23,6,19,2,0.6128,0.6424488446551913,0.4413636363636363
4,9.054634122155992e-05,1.234,0.5,0.51,0.4961832061068702,0.6701030927835051,0.3592233009708738,0.5701754385964912,0.029030020806499544,65,37,66,32,0.6956142711639405,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.608,0.6343170281263273,0.05
5,8.550178566873411e-05,1.229,0.5,0.545,0.5342465753424658,0.40625,0.6730769230769231,0.46153846153846156,0.08006469874646194,39,70,34,57,0.6890874242782593,0.4413636363636363,0.54,0.5217391304347826,0.96,0.12,0.6760563380281689,0.08000000000000007,24,3,22,1,0.6144,0.6485893142303746,0.4413636363636363
6,7.959536998847744e-05,1.24,0.5,0.475,0.4479166666666667,0.45263157894736844,0.49523809523809526,0.450261780104712,-0.05210420841683371,43,52,53,52,0.7188717126846313,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.6064,0.6355536202952068,0.05
7,7.297252973710758e-05,1.237,0.5,0.52,0.5289256198347108,0.6213592233009708,0.41237113402061853,0.5714285714285714,0.03391365603300801,64,40,57,39,0.6930076861381531,0.5463636363636364,0.56,0.5365853658536586,0.88,0.24,0.6666666666666667,0.1200000000000001,22,6,19,3,0.6048,0.6324504707083316,0.5463636363636364
8,6.579634122155991e-05,1.238,0.5,0.59,0.5945945945945946,0.24719101123595505,0.8648648648648649,0.3492063492063492,0.11894273127753305,22,96,15,67,0.6753842067718506,0.45090909090909087,0.56,0.5348837209302325,0.92,0.2,0.6764705882352942,0.1200000000000001,23,5,20,2,0.5984,0.6106564154280684,0.45090909090909087
9,5.824350601949144e-05,1.238,0.5,0.59,0.5869565217391305,0.9473684210526315,0.11627906976744186,0.7248322147651006,0.07071622846781506,108,10,76,6,0.6446079730987548,0.5654545454545454,0.6,0.5609756097560976,0.92,0.28,0.6969696969696971,0.19999999999999996,23,7,18,2,0.5904,0.6338632138734102,0.5654545454545454
10,5.050000000000001e-05,1.24,0.5,0.86,0.8446601941747572,0.8787878787878788,0.8415841584158416,0.8613861386138614,0.7200839748075577,87,85,16,12,0.3280498571693897,0.21227272727272728,0.66,0.7857142857142857,0.44,0.88,0.5641025641025641,0.32000000000000006,11,22,3,14,0.5856,0.6570033795782578,0.21227272727272728
11,4.275649398050859e-05,1.251,0.5,0.955,0.9894736842105263,0.9215686274509803,0.9897959183673469,0.9543147208121827,0.9100899100899101,94,97,1,8,0.12996012244839222,0.05,0.5,0.5,0.84,0.16,0.6268656716417911,0.0,21,4,21,4,0.5632,0.6510464930605744,0.05
12,3.520365877844011e-05,1.249,0.5,0.975,0.9797979797979798,0.97,0.98,0.9748743718592964,0.95,97,98,2,3,0.09398395091295242,0.05,0.5,0.5,0.84,0.16,0.6268656716417911,0.0,21,4,21,4,0.528,0.6243373975015608,0.05
13,2.8027470262892444e-05,1.251,0.5,0.995,0.9906542056074766,1.0,0.9893617021276596,0.9953051643192489,0.9899578228559952,106,93,1,0,0.007116039185639238,0.7277272727272727,0.58,0.6,0.48,0.68,0.5333333333333332,0.15999999999999992,12,17,8,13,0.528,0.6261544446657669,0.7277272727272727
