epoch,lr,seconds,train_threshold,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_kappa,train_tp,train_tn,train_fp,train_fn,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_kappa,val_tp,val_tn,val_fp,val_fn,val_auc,val_ap,val_best_threshold
1,9.939057285945933e-05,1.009,0.5,0.555,0.5584415584415584,0.8037383177570093,0.26881720430107525,0.6590038314176244,0.07503637497401792,86,25,68,21,0.6929727268218994,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.4112,0.4897943897922913,0.05
2,9.757729755661012e-05,0.672,0.5,0.645,0.5983606557377049,0.7684210526315789,0.5333333333333333,0.6728110599078341,0.2977250247279921,73,56,49,22,0.6009148299694062,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.384,0.4589239785918324,0.05
3,9.460482294732422e-05,0.673,0.5,0.8,0.8783783783783784,0.6770833333333334,0.9134615384615384,0.7647058823529412,0.5957962813257883,65,95,9,31,0.4427811717987061,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.312,0.40912182239256717,0.05
4,9.054634122155992e-05,0.664,0.5,0.76,0.7669902912621359,0.7669902912621359,0.7525773195876289,0.7669902912621359,0.5195676108497649,79,73,24,24,0.49334431886672975,0.3268181818181818,0.52,0.5102040816326531,1.0,0.04,0.6756756756756758,0.040000000000000036,25,1,24,0,0.3776,0.47112376116316024,0.3268181818181818
5,8.550178566873411e-05,0.665,0.5,0.8,0.7735849056603774,0.8367346938775511,0.7647058823529411,0.803921568627451,0.6004794246903717,82,78,24,16,0.39170836806297304,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.4416,0.513182702859391,0.05
6,7.959536998847744e-05,0.663,0.5,0.835,0.8210526315789474,0.8297872340425532,0.839622641509434,0.8253968253968254,0.6690070210631895,78,89,17,16,0.3691343939304352,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3952,0.4936045876472965,0.05
7,7.297252973710758e-05,0.672,0.5,0.87,0.8913043478260869,0.8367346938775511,0.9019607843137255,0.8631578947368421,0.7395833333333333,82,92,10,16,0.26963960006833076,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3344,0.41703282898108085,0.05
8,6.579634122155991e-05,0.663,0.5,0.91,0.9042553191489362,0.9042553191489362,0.9150943396226415,0.9042553191489362,0.8193496587715777,85,97,9,9,0.26222682133316993,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.328,0.43496287882771006,0.05
9,5.824350601949144e-05,0.668,0.5,0.885,0.8488372093023255,0.8795180722891566,0.8888888888888888,0.863905325443787,0.7643925425117803,73,104,13,10,0.28293430745601655,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3104,0.42209496090818877,0.05
10,5.050000000000001e-05,0.669,0.5,0.925,0.9130434782608695,0.9230769230769231,0.926605504587156,0.9180327868852459,0.8489121676067688,84,101,8,7,0.20038107119500637,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3536,0.44764947228148394,0.05
11,4.275649398050859e-05,0.676,0.5,0.915,0.9029126213592233,0.93,0.9,0.916256157635468,0.8300000000000001,93,90,10,7,0.2433161363005638,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3072,0.4324722592478376,0.05
12,3.520365877844011e-05,0.66,0.5,0.9,0.941747572815534,0.8738738738738738,0.9325842696629213,0.9065420560747663,0.7993378147888031,97,83,6,14,0.19450608924031257,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3072,0.40806930949189335,0.05
13,2.8027470262892444e-05,0.677,0.5,0.93,0.9238095238095239,0.941747572815534,0.9175257731958762,0.9326923076923078,0.8597896845267903,97,89,8,6,0.186288228482008,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3024,0.40414069569353744,0.05
14,2.1404630011522593e-05,0.677,0.5,0.925,0.9186046511627907,0.9080459770114943,0.9380530973451328,0.9132947976878613,0.8472193929517214,79,106,7,8,0.17175926759839058,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3152,0.40612484597383597,0.05
15,1.5498214331265904e-05,0.672,0.5,0.935,0.9204545454545454,0.9310344827586207,0.9380530973451328,0.9257142857142858,0.8679398618447787,81,106,7,6,0.16879119880497456,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3216,0.4141337800686085,0.05
16,1.0453658778440109e-05,0.68,0.5,0.915,0.8888888888888888,0.9361702127659575,0.8962264150943396,0.9119170984455959,0.829897938763258,88,95,11,6,0.18186962254345418,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.3168,0.4098625230645274,0.05
