epoch,lr,seconds,train_threshold,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_kappa,train_tp,train_tn,train_fp,train_fn,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_kappa,val_tp,val_tn,val_fp,val_fn,val_auc,val_ap,val_best_threshold
1,9.939057285945933e-05,0.749,0.5,0.545,0.5,0.3516483516483517,0.7064220183486238,0.4129032258064516,0.05952873088052924,32,77,32,59,0.6834846901893615,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.0,0.6178079524588616,0.05
2,9.757729755661012e-05,0.446,0.5,0.65,0.6842105263157895,0.5306122448979592,0.7647058823529411,0.5977011494252874,0.29662379421221874,52,78,24,46,0.6141592264175415,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.0,0.6178079524588616,0.05
3,9.460482294732422e-05,0.455,0.5,0.885,0.9375,0.8064516129032258,0.9532710280373832,0.8670520231213872,0.7667342799188641,75,102,5,18,0.34426636397838595,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.4128,0.5982744942860587,0.05
4,9.054634122155992e-05,0.442,0.5,0.92,0.9782608695652174,0.8653846153846154,0.9791666666666666,0.9183673469387755,0.8405103668261563,90,94,2,14,0.17389061633497477,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5696,0.5805425967371396,0.05
5,8.550178566873411e-05,0.441,0.5,0.94,0.9207920792079208,0.9587628865979382,0.9223300970873787,0.9393939393939394,0.8800359892032389,93,95,8,4,0.15766185894608498,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5168,0.5704081344825898,0.05
6,7.959536998847744e-05,0.44,0.5,0.95,0.94,0.9591836734693877,0.9411764705882353,0.9494949494949495,0.8999999999999999,94,96,6,4,0.09419494926929474,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5776,0.5608002450303388,0.05
7,7.297252973710758e-05,0.442,0.5,0.96,0.9722222222222222,0.9545454545454546,0.9666666666666667,0.963302752293578,0.9193548387096774,105,87,3,5,0.18901333371177315,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.6496,0.5777057641177032,0.05
8,6.579634122155991e-05,0.447,0.5,0.99,0.9814814814814815,1.0,0.9787234042553191,0.9906542056074767,0.979903536977492,106,92,2,0,0.04618585066869855,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5936,0.5567531627442946,0.05
9,5.824350601949144e-05,0.451,0.5,0.995,1.0,0.989010989010989,1.0,0.994475138121547,0.9899091826437941,90,109,0,1,0.04597659237682819,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5984,0.5555576551800159,0.05
10,5.050000000000001e-05,0.444,0.5,0.98,0.9893617021276596,0.96875,0.9903846153846154,0.9789473684210526,0.9599037690457096,93,103,1,3,0.04821672822814435,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.6032,0.5473016215967226,0.05
11,4.275649398050859e-05,0.447,0.5,1.0,1.0,1.0,1.0,1.0,1.0,103,97,0,0,0.013693058902863414,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5792,0.5367136988402579,0.05
12,3.520365877844011e-05,0.451,0.5,1.0,1.0,1.0,1.0,1.0,1.0,104,96,0,0,0.012418823116458953,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5776,0.5592283622813919,0.05
13,2.8027470262892444e-05,0.444,0.5,1.0,1.0,1.0,1.0,1.0,1.0,116,84,0,0,0.014463187599321827,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.5808,0.5743103020963519,0.05
