epoch,lr,seconds,train_threshold,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_kappa,train_tp,train_tn,train_fp,train_fn,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_kappa,val_tp,val_tn,val_fp,val_fn,val_auc,val_ap,val_best_threshold
1,9.939057285945933e-05,1.048,0.5,0.665,0.6818181818181818,0.7009345794392523,0.6236559139784946,0.6912442396313364,0.32527693856999007,75,58,35,32,0.6118420362472534,0.05,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,25,0,25,0,0.4688,0.5469845733495071,0.05
2,9.757729755661012e-05,0.742,0.5,0.84,0.82,0.8541666666666666,0.8269230769230769,0.836734693877551,0.6799999999999999,82,86,18,14,0.3406467890739441,0.05,0.44,0.36363636363636365,0.16,0.72,0.2222222222222222,-0.12,4,18,7,21,0.5488,0.5316415248407723,0.05
3,9.460482294732422e-05,0.736,0.5,0.865,0.8543689320388349,0.88,0.85,0.8669950738916256,0.73,88,85,15,12,0.30429546281695363,0.28863636363636364,0.54,0.5208333333333334,1.0,0.08,0.684931506849315,0.08000000000000007,25,2,23,0,0.488,0.5261032897917925,0.28863636363636364
4,9.054634122155992e-05,0.737,0.5,0.915,0.9207920792079208,0.9117647058823529,0.9183673469387755,0.9162561576354681,0.8299659931986398,93,90,8,9,0.1908452732115984,0.11681818181818181,0.6,0.5581395348837209,0.96,0.24,0.7058823529411763,0.19999999999999996,24,6,19,1,0.5824,0.560977243846711,0.11681818181818181
5,8.550178566873411e-05,0.742,0.5,0.92,0.9595959595959596,0.8878504672897196,0.956989247311828,0.9223300970873787,0.8401119216548416,95,89,4,12,0.2094796259701252,0.489090909090909,0.6,0.5641025641025641,0.88,0.32,0.6875,0.19999999999999996,22,8,17,3,0.5776,0.5719573034302523,0.489090909090909
6,7.959536998847744e-05,0.739,0.5,0.91,0.8990825688073395,0.9333333333333333,0.8842105263157894,0.9158878504672897,0.8191863385233552,98,84,11,7,0.2410384714975953,0.45090909090909087,0.6,0.5581395348837209,0.96,0.24,0.7058823529411763,0.19999999999999996,24,6,19,1,0.5792,0.5223639645892465,0.45090909090909087
7,7.297252973710758e-05,0.743,0.5,0.94,0.9368421052631579,0.9368421052631579,0.9428571428571428,0.9368421052631579,0.8796992481203006,89,99,6,6,0.11704773485660552,0.42227272727272724,0.66,0.5952380952380952,1.0,0.32,0.7462686567164178,0.32000000000000006,25,8,17,0,0.6688,0.6357099761984475,0.42227272727272724
8,6.579634122155991e-05,0.746,0.5,0.94,0.963963963963964,0.9304347826086956,0.9529411764705882,0.9469026548672567,0.8779867819013726,107,81,4,8,0.1326626757904887,0.11681818181818181,0.64,0.5897435897435898,0.92,0.36,0.71875,0.28,23,9,16,2,0.6624,0.6047928859337964,0.11681818181818181
9,5.824350601949144e-05,0.742,0.5,0.975,0.9705882352941176,0.9801980198019802,0.9696969696969697,0.9753694581280787,0.9499899979995998,99,96,3,2,0.0907810253975913,0.4604545454545454,0.62,0.5714285714285714,0.96,0.28,0.7164179104477612,0.24,24,7,18,1,0.616,0.5562716464186717,0.4604545454545454
10,5.050000000000001e-05,0.744,0.5,0.98,0.9901960784313726,0.9711538461538461,0.9895833333333334,0.9805825242718447,0.9599679743795035,101,95,1,3,0.07183157798368484,0.05,0.46,0.4642857142857143,0.52,0.4,0.49056603773584906,-0.07999999999999996,13,10,15,12,0.5184,0.5108314326556,0.05
11,4.275649398050859e-05,0.731,0.5,0.97,0.9906542056074766,0.954954954954955,0.9887640449438202,0.9724770642201835,0.939534414995465,106,88,1,5,0.0764184173126705,0.08818181818181818,0.52,0.5121951219512195,0.84,0.2,0.6363636363636365,0.040000000000000036,21,5,20,4,0.472,0.492268596238386,0.08818181818181818
12,3.520365877844011e-05,0.739,0.5,0.955,0.9166666666666666,1.0,0.9108910891089109,0.9565217391304348,0.9100719424460432,99,92,9,0,0.10123690933454782,0.6227272727272727,0.56,0.5319148936170213,1.0,0.12,0.6944444444444444,0.1200000000000001,25,3,22,0,0.4976,0.5129112622547592,0.6227272727272727
13,2.8027470262892444e-05,0.74,0.5,0.975,0.98989898989899,0.9607843137254902,0.9897959183673469,0.9751243781094527,0.9500099980003999,98,97,1,4,0.07088134955207352,0.05,0.62,0.5789473684210527,0.88,0.36,0.6984126984126985,0.24,22,9,16,3,0.5392,0.5344889288740597,0.05
14,2.1404630011522593e-05,0.736,0.5,0.98,0.9578947368421052,1.0,0.963302752293578,0.978494623655914,0.9598191863385234,91,105,4,0,0.029869819381274282,0.3745454545454545,0.62,0.575,0.92,0.32,0.7076923076923077,0.24,23,8,17,2,0.5792,0.5523093878765528,0.3745454545454545
15,1.5498214331265904e-05,0.746,0.5,0.98,0.967391304347826,0.9888888888888889,0.9727272727272728,0.978021978021978,0.9596774193548386,89,107,3,1,0.06817490518355043,0.25999999999999995,0.64,0.5813953488372093,1.0,0.28,0.7352941176470588,0.28,25,7,18,0,0.6192,0.5701646618843748,0.25999999999999995
16,1.0453658778440109e-05,0.748,0.5,0.965,0.9456521739130435,0.9775280898876404,0.954954954954955,0.9613259668508287,0.9293785310734463,87,106,5,2,0.12039489282527939,0.07863636363636364,0.66,0.6052631578947368,0.92,0.4,0.7301587301587301,0.32000000000000006,23,10,15,2,0.6224,0.555165610903866,0.07863636363636364
17,6.3951770526757955e-06,0.739,0.5,0.97,1.0,0.9444444444444444,1.0,0.9714285714285714,0.9399038461538461,102,92,0,6,0.06520254286006093,0.05,0.5,0.5,0.32,0.68,0.39024390243902435,0.0,8,17,8,17,0.6016,0.5643727830294553,0.05
18,3.422702443389901e-06,0.746,0.5,0.99,0.9813084112149533,1.0,0.9789473684210527,0.9905660377358491,0.9799297541394882,105,93,2,0,0.029789363531162964,0.05,0.62,0.6071428571428571,0.68,0.56,0.6415094339622641,0.24,17,14,11,8,0.616,0.5730135416835807,0.05
19,1.609427140540686e-06,0.734,0.5,0.985,1.0,0.9724770642201835,1.0,0.986046511627907,0.9698371204504324,106,91,0,3,0.02586332998063881,0.05,0.46,0.42857142857142855,0.24,0.68,0.30769230769230765,-0.07999999999999996,6,17,8,19,0.5856,0.5533683459555024,0.05
