epoch,lr,seconds,train_threshold,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_kappa,train_tp,train_tn,train_fp,train_fn,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_kappa,val_tp,val_tn,val_fp,val_fn,val_auc,val_ap,val_best_threshold
1,9.939057285945933e-05,0.469,0.5,0.555,0.551948051948052,0.8095238095238095,0.2736842105263158,0.6563706563706564,0.08530318602261067,85,26,69,20,0.683259015083313,0.25045454545454543,0.58,0.5526315789473685,0.84,0.32,0.6666666666666667,0.15999999999999992,21,8,17,4,0.664,0.6507932908311581,0.25045454545454543
2,9.757729755661012e-05,0.237,0.5,0.63,0.6012269938650306,0.9158878504672897,0.3010752688172043,0.7259259259259259,0.225860445653311,98,28,65,9,0.6688350582122803,0.4986363636363636,0.62,0.5789473684210527,0.88,0.36,0.6984126984126985,0.24,22,9,16,3,0.6384,0.6269245893841933,0.4986363636363636
3,9.460482294732422e-05,0.237,0.5,0.765,0.6917293233082706,0.9387755102040817,0.5980392156862745,0.7965367965367965,0.5330816610371548,92,61,41,6,0.6474069428443908,0.43181818181818177,0.62,0.5789473684210527,0.88,0.36,0.6984126984126985,0.24,22,9,16,3,0.6432,0.6318428090178203,0.43181818181818177
4,9.054634122155992e-05,0.23,0.5,0.87,0.8521739130434782,0.9158878504672897,0.8172043010752689,0.8828828828828829,0.7372410308236483,98,76,17,9,0.5932081639766693,0.8136363636363636,0.58,0.5476190476190477,0.92,0.24,0.6865671641791046,0.15999999999999992,23,6,19,2,0.6192,0.6173201641946349,0.8136363636363636
5,8.550178566873411e-05,0.233,0.5,0.86,0.8482142857142857,0.8962264150943396,0.8191489361702128,0.8715596330275229,0.717969379532635,95,77,17,11,0.5438598108291626,0.06909090909090909,0.6,0.5609756097560976,0.92,0.28,0.6969696969696971,0.19999999999999996,23,7,18,2,0.6208,0.6138285479900409,0.06909090909090909
6,7.959536998847744e-05,0.234,0.5,0.9,0.8932038834951457,0.9108910891089109,0.8888888888888888,0.9019607843137256,0.7999399819945985,92,88,11,9,0.46009642362594605,0.07863636363636364,0.58,0.5476190476190477,0.92,0.24,0.6865671641791046,0.15999999999999992,23,6,19,2,0.632,0.6179489414229006,0.07863636363636364
7,7.297252973710758e-05,0.228,0.5,0.94,0.8969072164948454,0.9775280898876404,0.9099099099099099,0.935483870967742,0.8796026888732817,87,101,10,2,0.4020464682579041,0.05,0.5,0.0,0.0,1.0,0.0,0.0,0,25,0,25,0.6464,0.6361579061992453,0.05
8,6.579634122155991e-05,0.229,0.5,0.96,0.9523809523809523,0.970873786407767,0.9484536082474226,0.9615384615384616,0.9198798197295943,100,92,5,3,0.34063573241233824,0.05,0.64,0.5945945945945946,0.88,0.4,0.7096774193548386,0.28,22,10,15,3,0.624,0.586847462184437,0.05
9,5.824350601949144e-05,0.236,0.5,0.98,0.9895833333333334,0.9693877551020408,0.9901960784313726,0.9793814432989691,0.9599679743795035,95,101,1,3,0.27322207927703857,0.15499999999999997,0.68,0.6285714285714286,0.88,0.48,0.7333333333333334,0.3600000000000001,22,12,13,3,0.632,0.5876525485860706,0.15499999999999997
10,5.050000000000001e-05,0.238,0.5,0.97,0.96,0.9795918367346939,0.9607843137254902,0.9696969696969697,0.94,96,98,4,2,0.25551776826381684,0.9186363636363636,0.62,0.5789473684210527,0.88,0.36,0.6984126984126985,0.24,22,9,16,3,0.6352,0.5877713757157871,0.9186363636363636
11,4.275649398050859e-05,0.23,0.5,0.98,0.9888888888888889,0.967391304347826,0.9907407407407407,0.978021978021978,0.9596774193548386,89,107,1,3,0.22229664623737336,0.23136363636363633,0.68,0.6285714285714286,0.88,0.48,0.7333333333333334,0.3600000000000001,22,12,13,3,0.6288,0.5829577963046851,0.23136363636363633
12,3.520365877844011e-05,0.225,0.5,0.975,0.99,0.9611650485436893,0.9896907216494846,0.9753694581280788,0.95,99,96,1,4,0.20855697453022004,0.45090909090909087,0.68,0.6285714285714286,0.88,0.48,0.7333333333333334,0.3600000000000001,22,12,13,3,0.6288,0.5816456653898442,0.45090909090909087
13,2.8027470262892444e-05,0.233,0.5,0.995,1.0,0.9901960784313726,1.0,0.9950738916256158,0.98999799959992,101,98,0,1,0.17670263350009918,0.6036363636363636,0.68,0.6285714285714286,0.88,0.48,0.7333333333333334,0.3600000000000001,22,12,13,3,0.6256,0.5809507576894458,0.6036363636363636
14,2.1404630011522593e-05,0.233,0.5,0.99,0.9902912621359223,0.9902912621359223,0.9896907216494846,0.9902912621359223,0.9799819837854068,102,96,1,1,0.16544735580682754,0.11681818181818181,0.66,0.6111111111111112,0.88,0.44,0.7213114754098361,0.32000000000000006,22,11,14,3,0.6208,0.5769981999102484,0.11681818181818181
15,1.5498214331265904e-05,0.231,0.5,0.995,1.0,0.9901960784313726,1.0,0.9950738916256158,0.98999799959992,101,98,0,1,0.15028369426727295,0.13590909090909092,0.66,0.6111111111111112,0.88,0.44,0.7213114754098361,0.32000000000000006,22,11,14,3,0.6128,0.5711498817808065,0.13590909090909092
16,1.0453658778440109e-05,0.229,0.5,0.995,0.9880952380952381,1.0,0.9914529914529915,0.9940119760479043,0.9897203947368421,83,116,1,0,0.17493701130151748,0.19318181818181818,0.66,0.6111111111111112,0.88,0.44,0.7213114754098361,0.32000000000000006,22,11,14,3,0.6224,0.5789149224016824,0.19318181818181818
17,6.3951770526757955e-06,0.235,0.5,0.985,0.97,1.0,0.970873786407767,0.9847715736040609,0.97,97,100,3,0,0.17523898154497147,0.3268181818181818,0.66,0.6111111111111112,0.88,0.44,0.7213114754098361,0.32000000000000006,22,11,14,3,0.624,0.5808946082693068,0.3268181818181818
18,3.422702443389901e-06,0.231,0.5,0.995,1.0,0.9897959183673469,1.0,0.9948717948717948,0.9899939963978387,97,102,0,1,0.1314891132712364,0.3936363636363636,0.68,0.6285714285714286,0.88,0.48,0.7333333333333334,0.3600000000000001,22,12,13,3,0.624,0.5805737807798258,0.3936363636363636
19,1.609427140540686e-06,0.235,0.5,0.945,0.9107142857142857,0.9902912621359223,0.8969072164948454,0.9488372093023257,0.8896025692492974,102,87,10,1,0.19076144963502883,0.40318181818181814,0.68,0.6285714285714286,0.88,0.48,0.7333333333333334,0.3600000000000001,22,12,13,3,0.624,0.5805737807798258,0.40318181818181814
20,1e-06,0.228,0.5,1.0,1.0,1.0,1.0,1.0,1.0,101,99,0,0,0.1589166496694088,0.42227272727272724,0.68,0.6285714285714286,0.88,0.48,0.7333333333333334,0.3600000000000001,22,12,13,3,0.624,0.5808946082693068,0.42227272727272724
